Timeline,Start time,Duration,Row,Instance number,1st Phase Pass,1st Phase Receiver,2nd Phase Pass,2nd Phase Receiver,Deflection Success,Feed Location,Feed Success,Gains / Turnover Reason,Penalty Reason,Player,Quarter,Shooter Position,Shot Location,Shot Outcome,Turnover Location,Ungrouped,Notes,Flags
SGPvsFIJ_20260708,34.37832508,51.89913503,SGP CPA,1,Center Right Attack,GA,Center Right Attack,WA,,Circle Edge,YES,,,,"Q1, Q1, Q1, Q1, Q1, Q1",GA,Inner Middle,OPP Goal,,,,
SGPvsFIJ_20260708,134.3726642,23.71226264,SGP CPA,2,Center Mid Attack,WA,Center Mid Attack,GA,,"Circle Edge, Circle Edge","YES, YES",,,,"Q1, Q1, Q1, Q1, Q1, Q1, Q1",GA,Inner Middle,SGP Goal,,,,
SGPvsFIJ_20260708,181.3745443,17.8041564,SGP CPA,3,Center Left Attack,GA,Center Mid Attack,GD,,Circle Edge,YES,,,,"Q1, Q1, Q1",GA,Outer Middle,SGP Goal,,,,
SGPvsFIJ_20260708,226.9757421,19.30314393,SGP CPA,4,Center Left Attack,WA,Attacking Left,GA,,"Outside Circle, Circle Edge","YES, YES",,,,"Q1, Q1, Q1, Q1, Q1",GS,Inner Left,SGP Goal,,,,
SGPvsFIJ_20260708,266.2727132,28.4079139,SGP CPA,5,Center Left Attack,WA,Attacking Left Pocket,GS,,"Circle Edge, Circle Edge","NO, YES",,,,"Q1, Q1, Q1, Q1, Q1",GS,Inner Right,OPP Goal,,,,
SGPvsFIJ_20260708,373.3726532,96.90655439,SGP CPA,6,Center Right Attack,GA,,Not Taken,,"Outside Circle, Circle Edge, Circle Edge","NO, NO, NO",,,,"Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1",GA,Outer Right,SGP Goal,,,,
SGPvsFIJ_20260708,564.0789268,21.39935949,SGP CPA,7,Center Left Attack,GA,Attacking Left,WA,,Outside Circle,YES,,,,"Q1, Q1, Q1",GS,Inner Left,SGP Goal,,,,
SGPvsFIJ_20260708,614.2753472,49.9038289,SGP CPA,8,Center Mid Defense,GD,Center Left Attack,C,,"Outside Circle, Circle Edge, Circle Edge","YES, YES, YES",,,,"Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1",GA,Inner Right,OPP Goal,,,,
SGPvsFIJ_20260708,710.8749525,13.60473858,SGP CPA,9,Center Mid Attack,WA,Attacking Left Pocket,GS,,Circle Edge,YES,,,,"Q1, Q1, Q1, Q1",GA,Outer Left,SGP Goal,,,,
SGPvsFIJ_20260708,764.7924667,57.19862222,SGP CPA,10,Center Left Attack,GA,Attacking Middle,WA,,"Circle Edge, Outside Circle, Circle Edge","YES, YES, YES",Contact,,,"Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1","GA, GA","Inner Left, Outer Middle","OPP Miss, SGP Goal",Attacking D,,,
