Timeline,Start time,Duration,Row,Instance number,1st Phase Pass,1st Phase Receiver,2nd Phase Pass,2nd Phase Receiver,Deflection Success,Feed Location,Feed Success,Gains / Turnover Reason,Penalty Reason,Player,Quarter,Shooter Position,Shot Location,Shot Outcome,Turnover Location,Ungrouped,Notes,Flags
SGPvsPNG_20260709,124.4804444,137.0052353,SGP CPA,1,Center Right Attack,GA,Attacking Right Pocket,C,,"Circle Edge, Outside Circle, Outside Circle, Circle Edge","YES, YES, NO, YES",,,,"Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1","GS, GS, GA, GS","Inner Right, Inner Left, Outer Left, Inner Middle","SGP Miss, SGP Miss, SGP Miss, SGP Goal",,,,
SGPvsPNG_20260709,334.0800598,18.60503168,SGP CPA,2,Center Mid Attack,WA,Attacking Left,C,,,,,,,"Q1, Q1, Q1",GA,Outer Left,SGP Goal,,,,
SGPvsPNG_20260709,377.3815891,76.90412215,SGP CPA,3,Center Mid Attack,GA,Attacking Middle,GS,,"Circle Edge, Circle Edge","YES, YES",,,,"Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1","GA, GS, GA, GS","Outer Left, Outer Middle, Inner Right, Inner Left","SGP Miss, OPP Miss, OPP Miss, OPP Goal",,,,
SGPvsPNG_20260709,502.282252,37.30384645,SGP CPA,4,Center Left Attack,WA,,,,"Circle Edge, Circle Edge","YES, YES",,,,"Q1, Q1, Q1, Q1, Q1, Q1",GA,Inner Left,SGP Goal,,,,
SGPvsPNG_20260709,566.1806094,40.90544979,SGP CPA,5,Center Right Attack,WA,Center Right Attack,GA,,"Circle Edge, Circle Edge","YES, YES",,,,"Q1, Q1, Q1, Q1, Q1, Q1, Q1",GA,Inner Middle,SGP Goal,,,,
SGPvsPNG_20260709,642.8809678,31.90498771,SGP CPA,6,Center Left Attack,WA,,Not Taken,,"Circle Edge, Inside Circle","YES, YES",,,,"Q1, Q1, Q1, Q1, Q1, Q1",GS,Inner Right,SGP Goal,,,,
SGPvsPNG_20260709,712.7811512,10.50493439,SGP CPA,7,Center Right Attack,WA,Attacking Middle,C,,Outside Circle,YES,,,,"Q1, Q1, Q1",GA,Inner Right,SGP Goal,,,,
SGPvsPNG_20260709,753.3803278,18.30531911,SGP CPA,8,Center Mid Attack,GA,Attacking Right Pocket,WA,,,,,,,"Q1, Q1, Q1",GA,Inner Right,SGP Goal,,,,
SGPvsPNG_20260709,802.5844138,21.19979206,SGP CPA,9,,Not Taken,,,,Circle Edge,YES,,,,"Q1, Q1, Q1, Q1",GA,Outer Right,SGP Goal,,,,
SGPvsPNG_20260709,939.8797996,21.80381596,SGP CPA,10,Center Mid Attack,WA,Attacking Right,GS,,Circle Edge,YES,,,,"Q1, Q1, Q1, Q1",GA,Outer Middle,SGP Goal,,,,
SGPvsPNG_20260709,1043.480601,21.10419675,SGP CPA,11,Center Right Attack,GA,Attacking Middle,C,,Outside Circle,YES,,,,"Q1, Q1, Q1, Q1",GS,Inner Right,SGP Goal,,,,
SGPvsPNG_20260709,1309.381976,21.50471487,SGP CPA,12,Center Mid Attack,WA,Center Right Attack,GA,,Circle Edge,YES,,,,"Q2, Q2, Q2, Q2",GA,Inner Right,SGP Goal,,,,
