Timeline,Start time,Duration,Row,Instance number,1st Phase Pass,1st Phase Receiver,2nd Phase Pass,2nd Phase Receiver,Deflection Success,Feed Location,Feed Success,Gains / Turnover Reason,Penalty Reason,Player,Quarter,Shooter Position,Shot Location,Shot Outcome,Turnover Location,Ungrouped,Notes,Flags
SGPvsSwans_final_20260711,45.048255555555556,67.40328363701306,SGP CPA,1,Center Left Attack,WA,Attacking Middle,GA,,"Outside Circle, Circle Edge, Inside Circle, Outside Circle, Outside Circle","YES, YES, YES, YES, YES",,,,"Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1","GS, GA, GS, GS","Inner Right, Inner Left, Inner Right, Inner Left","SGP Miss, SGP Miss, OPP Miss, OPP Goal",,,,
SGPvsSwans_final_20260711,136.94926549955466,41.61483723400664,SGP CPA,2,Center Right Attack,GA,Center Mid Attack,WA,,"Circle Edge, Circle Edge, Outside Circle","YES, NO, YES",,,,"Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1",GA,Inner Right,SGP Goal,,,,
SGPvsSwans_final_20260711,204.5468803,47.10512935899419,SGP CPA,3,Center Left Attack,GA,Attacking Middle,C,,"Circle Edge, Circle Edge, Inside Circle, Circle Edge","YES, YES, YES, YES",,,,"Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1","GS, GS","Inner Left, Inner Left","SGP Miss, OPP Goal",,,,
SGPvsSwans_final_20260711,280.74395772354933,41.90818707,SGP CPA,4,Center Right Attack,WA,Attacking Middle,GA,,"Circle Edge, Circle Edge","YES, YES",,,,"Q1, Q1, Q1, Q1, Q1, Q1, Q1","GS, GS","Inner Middle, Inner Middle","SGP Miss, OPP Goal",,,,
SGPvsSwans_final_20260711,350.1480151985598,22.400048400007677,SGP CPA,5,Center Left Attack,WA,Attacking Middle,C,,"Circle Edge, Circle Edge","YES, YES",,,,"Q1, Q1, Q1, Q1",GS,Inner Right,SGP Goal,,,,
SGPvsSwans_final_20260711,404.1491443,22.10240086899597,SGP CPA,6,Center Right Attack,WA,Center Right Defense,WD,,"Circle Edge, Circle Edge","YES, YES",,,,"Q1, Q1, Q1, Q1",GA,Outer Middle,SGP Goal,,,,
SGPvsSwans_final_20260711,448.74606260155065,39.90534017200872,SGP CPA,7,Center Right Attack,GA,Center Mid Attack,WD,,"Outside Circle, Circle Edge, Inside Circle","NO, YES, YES",,,,"Q1, Q1, Q1, Q1, Q1, Q1, Q1",GA,Inner Left,SGP Goal,,,,
SGPvsSwans_final_20260711,509.0492329555562,77.50164134600328,SGP CPA,8,Center Left Attack,WA,,Not Taken,,"Outside Circle, Inside Circle, Circle Edge, Circle Edge","YES, NO, NO, YES",,,,"Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1","GA, GS","Outer Right, Inner Left","SGP Miss, OPP Goal",,,,
SGPvsSwans_final_20260711,601.3732666666667,38.92621491032355,SGP CPA,9,,Not Taken,,,,"Outside Circle, Circle Edge, Circle Edge","YES, YES, YES",,,Charlotte Lee,"Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1","GA, GS","Outer Middle, Inner Left","SGP Miss, OPP Goal",,,,
SGPvsSwans_final_20260711,690.8457671225634,45.405458806005186,SGP CPA,10,Center Right Attack,GA,Attacking Right,WA,,"Outside Circle, Circle Edge, Circle Edge, Circle Edge","NO, NO, YES, YES",,,,"Q1, Q1, Q1, Q1, Q1, Q1, Q1","GA, GA","Inner Right, Inner Right","SGP Miss, SGP Goal",,,,
SGPvsSwans_final_20260711,802.1445066735582,19.208779378005374,SGP CPA,11,Center Right Defense,GA,,GK,,Circle Edge,YES,,,,"Q1, Q1, Q1",GS,Inner Right,SGP Goal,,,,
SGPvsSwans_final_20260711,844.2473918435604,32.10361364000062,SGP CPA,12,Center Left Attack,WA,Attacking Left,GS,,"Outside Circle, Circle Edge","NO, YES",,,,"Q1, Q1, Q1, Q1, Q1, Q1",GS,Inner Left,SGP Goal,,,,
SGPvsSwans_final_20260711,903.1513563495527,53.500954946005436,SGP CPA,13,Center Right Attack,WA,Attacking D,GA,,"Outside Circle, Inside Circle, Circle Edge, Circle Edge, Circle Edge","YES, NO, NO, YES, YES",,,,"Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1",GA,Outer Right,SGP Miss,,,,
SGPvsSwans_final_20260711,1224.5415269955608,74.40977429199802,SGP CPA,14,Center Right Attack,WA,Attacking Middle,C,,"Circle Edge, Circle Edge","YES, YES",,,,"Q2, Q2, Q2, Q2, Q2, Q2, Q2, Q2, Q2, Q2","GS, GS","Inner Right, Inner Left","SGP Miss, OPP Goal",,,,
SGPvsSwans_final_20260711,1339.7436646495478,59.914089679011795,SGP CPA,15,Center Mid Attack,GD,Attacking Right,C,,"Outside Circle, Circle Edge","YES, YES",,,,"Q2, Q2, Q2, Q2, Q2, Q2, Q2, Q2","GS, GS","Inner Middle, Inner Right","SGP Miss, OPP Goal",,,,
SGPvsSwans_final_20260711,1456.647095303565,35.304288372986775,SGP CPA,16,Center Mid Attack,GA,Attacking Right,WA,,Circle Edge,YES,,,,"Q2, Q2, Q2, Q2, Q2, Q2",GS,Inner Left,OPP Goal,,,,
SGPvsSwans_final_20260711,1518.145958080555,16.104834635999396,SGP CPA,17,Center Right Attack,GA,Attacking Right Pocket,WA,,Circle Edge,YES,,,,"Q2, Q2, Q2, Q2",GA,Outer Right,SGP Goal,,,,
SGPvsSwans_final_20260711,1553.345199450563,46.507111908989145,SGP CPA,18,Center Right Attack,WA,Attacking D,GS,,"Outside Circle, Inside Circle","YES, YES",,,,"Q2, Q2, Q2, Q2, Q2, Q2, Q2",GS,Inner Left,OPP Goal,,,,
SGPvsSwans_final_20260711,1694.9435443525526,25.90511653199451,SGP CPA,19,Center Left Attack,WA,Center Left Attack,WD,,"Outside Circle, Circle Edge","YES, YES",,,,"Q2, Q2, Q2, Q2, Q2, Q2",GA,Inner Right,SGP Goal,,,,
SGPvsSwans_final_20260711,1736.2461853105588,30.30624185800457,SGP CPA,20,Center Left Attack,WD,Center Mid Defense,GD,,Circle Edge,YES,,,,"Q2, Q2, Q2, Q2",GS,Inner Right,OPP Goal,,,,
SGPvsSwans_final_20260711,1780.846237,65.50584143501419,SGP CPA,21,Center Left Attack,GA,Center Left Attack,WA,,"Circle Edge, Circle Edge, Inside Circle","YES, YES, YES",,,,"Q2, Q2, Q2, Q2, Q2, Q2, Q2, Q2, Q2, Q2","GS, GS","Outer Right, Inner Middle","OPP Miss, OPP Goal",,,,
