Timeline,Start time,Duration,Row,Instance number,1st Phase Pass,1st Phase Receiver,2nd Phase Pass,2nd Phase Receiver,Deflection Success,Feed Location,Feed Success,Gains / Turnover Reason,Penalty Reason,Player,Quarter,Shooter Position,Shot Location,Shot Outcome,Turnover Location,Ungrouped,Notes,Flags
SGPvsSwans_20260710,56.47286666666667,28.30162540898983,SGP CPA,1,,Not Taken,,,,"Circle Edge, Inside Circle","YES, YES",,,,"Q1, Q1, Q1, Q1, Q1, Q1",GS,Inner Right,OPP Goal,,,,
SGPvsSwans_20260710,101.17323226464775,18.701446797008003,SGP CPA,2,Center Right Attack,GA,Attacking Right,WA,,Circle Edge,YES,,,,"Q1, Q1, Q1, Q1",GA,Outer Middle,SGP Goal,,,,
SGPvsSwans_20260710,190.57296315366148,43.599834030990905,SGP CPA,3,,Not Taken,,,,"Circle Edge, Inside Circle","YES, YES",,,,"Q1, Q1, Q1, Q1, Q1, Q1, Q1",GA,Inner Middle,SGP Goal,,,,
SGPvsSwans_20260710,249.40227575865015,36.87169022001319,SGP CPA,4,,Not Taken,,,,Circle Edge,YES,,,,"Q1, Q1, Q1, Q1, Q1",GA,Inner Middle,OPP Goal,,,,
SGPvsSwans_20260710,299.77329761465637,70.80119462498959,SGP CPA,5,Center Right Attack,GA,Attacking Right,GS,,"Circle Edge, Outside Circle","NO, YES",,,,"Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1",GS,Inner Middle,OPP Goal,,,,
SGPvsSwans_20260710,439.06698162665816,50.30834835500531,SGP CPA,6,Center Mid Attack,WA,Attacking Middle,GS,,"Circle Edge, Circle Edge, Circle Edge, Circle Edge","YES, YES, NO, YES",,,,"Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1","GA, GA, GS","Outer Left, Outer Left, Inner Left","SGP Miss, SGP Miss, OPP Goal",,,,
SGPvsSwans_20260710,655.3712310406542,63.00387305800564,SGP CPA,7,Center Mid Attack,GA,,Not Taken,,"Circle Edge, Outside Circle, Circle Edge, Circle Edge","YES, YES, NO, YES",,,,"Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1",GA,Outer Right,SGP Goal,,,,
SGPvsSwans_20260710,752.2711356846528,35.90302693700369,SGP CPA,8,Center Right Attack,GA,Attacking Left Pocket,WA,,"Circle Edge, Outside Circle","NO, YES",,,,"Q1, Q1, Q1, Q1, Q1, Q1, Q1",GA,Inner Right,OPP Goal,,,,
SGPvsSwans_20260710,808.9702291916559,45.90508320899232,SGP CPA,9,Center Left Attack,GA,Attacking Middle,WA,,"Circle Edge, Circle Edge","NO, YES",,,,"Q1, Q1, Q1, Q1, Q1, Q1, Q1",GA,Outer Right,SGP Goal,,,,
SGPvsSwans_20260710,869.4689966416685,18.307471579993944,SGP CPA,10,,Not Taken,,,,Circle Edge,YES,,,,"Q1, Q1, Q1, Q1, Q1",GS,Inner Left,OPP Goal,,,,
SGPvsSwans_20260710,1213.9713914276595,29.303900661001762,SGP CPA,11,Center Mid Attack,WA,Attacking Middle,GS,,"Circle Edge, Circle Edge","YES, YES",,,,"Q2, Q2, Q2, Q2, Q2",GS,Inner Middle,OPP Goal,,,,
SGPvsSwans_20260710,1265.0707546056647,32.70485147899217,SGP CPA,12,Center Mid Attack,GA,,Not Taken,,Circle Edge,YES,,,,"Q2, Q2, Q2, Q2",GA,Inner Right,SGP Goal,,,,
SGPvsSwans_20260710,1322.1715133076552,34.10417076700196,SGP CPA,13,Center Mid Attack,GA,Attacking Right,GS,,Circle Edge,YES,,,,"Q2, Q2, Q2, Q2, Q2",GS,Inner Right,OPP Goal,,,,
SGPvsSwans_20260710,1374.3729272836686,70.79730488398354,SGP CPA,14,Center Left Attack,WA,Center Mid Defense,GD,,"Outside Circle, Circle Edge, Inside Circle, Circle Edge","YES, YES, NO, YES",,,,"Q2, Q2, Q2, Q2, Q2, Q2, Q2, Q2, Q2, Q2, Q2, Q2","GA, GS","Inner Left, Inner Right","SGP Miss, OPP Goal",,,,
SGPvsSwans_20260710,1465.969853528662,65.50531081899567,SGP CPA,15,Center Mid Attack,GA,Attacking Right,GS,,"Circle Edge, Outside Circle","NO, YES",,,,"Q2, Q2, Q2, Q2, Q2, Q2, Q2",GS,Inner Middle,SGP Goal,,,,
SGPvsSwans_20260710,1556.0458129448407,50.625772146824374,SGP CPA,16,Center Left Attack,GA,Center Left Attack,WD,,"Outside Circle, Circle Edge, Circle Edge","YES, YES, YES",,,,"Q2, Q2, Q2, Q2, Q2, Q2, Q2, Q2, Q2","GA, GA, GA","Outer Middle, Inner Left, Inner Left","SGP Miss, OPP Miss, OPP Goal",,,,
SGPvsSwans_20260710,1632.5715624546563,24.503901920990074,SGP CPA,17,Center Right Attack,GA,Center Right Defense,WD,,Circle Edge,YES,,,,"Q2, Q2, Q2, Q2, Q2",GS,Outer Right,SGP Goal,,,,
SGPvsSwans_20260710,1682.9689149816554,32.206402573002606,SGP CPA,18,Center Left Attack,GA,Attacking Left,WA,,"Outside Circle, Circle Edge","YES, YES",,,,"Q2, Q2, Q2, Q2, Q2",GA,Inner Middle,SGP Goal,,,,
SGPvsSwans_20260710,1747.6739110086542,91.0012512160024,SGP CPA,19,Center Mid Attack,GA,,Not Taken,,"Circle Edge, Circle Edge, Inside Circle, Circle Edge, Circle Edge, Circle Edge","YES, YES, NO, YES, NO, YES",,,,"Q2, Q2, Q2, Q2, Q2, Q2, Q2, Q2, Q2, Q2, Q2, Q2, Q2, Q2, Q2, Q2","GA, GA, GS","Outer Right, Inner Left, Inner Left","SGP Miss, OPP Miss, OPP Goal",,,,
SGPvsSwans_20260710,1867.1715500126602,22.903549152989626,SGP CPA,20,Center Right Attack,GA,Attacking Right Pocket,C,,"Circle Edge, Circle Edge","YES, YES",,,,"Q2, Q2, Q2, Q2, Q2",GS,Outer Right,SGP Goal,,,,
SGPvsSwans_20260710,1946.170919360664,15.705903326001135,SGP CPA,21,Center Right Defense,WD,Center Right Attack,WA,,Circle Edge,YES,,,,"Q2, Q2, Q2",GA,Inner Left,SGP Goal,,,,
SGPvsSwans_20260710,1973.3694339116496,19.205977627006632,SGP CPA,22,Center Mid Attack,WD,Center Mid Attack,C,,"Circle Edge, Circle Edge, Inside Circle","YES, YES, YES",,,,"Q2, Q2, Q2, Q2, Q2",GS,Inner Left,SGP Goal,,,,
SGPvsSwans_20260710,2090.570339318664,21.103661263992763,SGP CPA,23,Center Left Attack,GA,Center Left Defense,WD,,Circle Edge,YES,,,,"Q2, Q2, Q2, Q2",GS,Inner Right,SGP Goal,,,,
SGPvsSwans_20260710,2142.1691442376473,19.406918202010274,SGP CPA,24,,Not Taken,,,,Circle Edge,YES,,,,"Q2, Q2, Q2, Q2",GS,Outer Left,OPP Miss,,,,
SGPvsSwans_20260710,2573.7743356106466,25.800598573015122,SGP CPA,25,Center Mid Attack,GA,Center Mid Defense,WD,,Circle Edge,YES,,,,"Q3, Q3, Q3",GS,Inner Right,SGP Goal,,,,
SGPvsSwans_20260710,2639.272441064653,49.502409538004486,SGP CPA,26,,Not Taken,,,,Outside Circle,YES,,,,"Q3, Q3, Q3, Q3, Q3",GS,Inner Left,OPP Goal,,,,
SGPvsSwans_20260710,2743.570961311662,56.90522128700286,SGP CPA,27,Center Right Attack,GA,Center Right Attack,WA,,Circle Edge,YES,,,,"Q3, Q3, Q3, Q3, Q3, Q3","GS, GA","Inner Left, Inner Right","SGP Miss, OPP Goal",,,,
SGPvsSwans_20260710,2816.8735971916544,46.80134630099701,SGP CPA,28,,Not Taken,,,,"Outside Circle, Circle Edge, Circle Edge, Circle Edge, Circle Edge","YES, NO, NO, YES, YES",,,,"Q3, Q3, Q3, Q3, Q3, Q3, Q3, Q3, Q3","GS, GS","Inner Middle, Inner Left","OPP Miss, OPP Goal",,,,
SGPvsSwans_20260710,2879.0709710076676,43.10971029098346,SGP CPA,29,Center Mid Attack,WD,Attacking Left,GS,,"Circle Edge, Circle Edge, Circle Edge, Circle Edge","YES, NO, NO, YES",,,,"Q3, Q3, Q3, Q3, Q3, Q3, Q3, Q3",GS,Inner Middle,OPP Goal,,,,
SGPvsSwans_20260710,2934.170823466667,20.303723051990346,SGP CPA,30,Center Mid Defense,WD,Attacking Left,WA,,"Circle Edge, Circle Edge","YES, YES",,,,"Q3, Q3, Q3, Q3",GS,Inner Right,SGP Goal,,,,
SGPvsSwans_20260710,2986.569383583663,55.20562286299355,SGP CPA,31,Center Left Attack,GA,Attacking Left,WA,,"Outside Circle, Circle Edge, Circle Edge, Outside Circle","YES, YES, NO, YES",,,,"Q3, Q3, Q3, Q3, Q3, Q3, Q3, Q3, Q3, Q3",GS,Inner Left,OPP Goal,,,,
SGPvsSwans_20260710,3111.365497994658,63.709429542008365,SGP CPA,32,Center Right Attack,WA,Attacking Right Pocket,GS,,"Outside Circle, Circle Edge","YES, YES",,,,"Q3, Q3, Q3, Q3, Q3, Q3, Q3","GS, GS","Inner Right, Inner Middle","SGP Miss, OPP Goal",,,,
SGPvsSwans_20260710,3190.1747491626556,17.59843641200314,SGP CPA,33,Center Left Attack,WA,Attacking Left,GS,,"Circle Edge, Circle Edge","YES, YES",,,,"Q3, Q3, Q3, Q3",GA,Inner Middle,SGP Goal,,,,
