Opponent,Timeline,Start time,Duration,Row,Instance number,1st Phase Pass,1st Phase Receiver,2nd Phase Pass,2nd Phase Receiver,Feed Location,Feed Success,Gains / Turnover Reason,Player,Quarter,Shooter Position,Shot Location,Shot Outcome,Turnover Location,Ungrouped,Notes,Flags
Brunei,SGPvsBRN_16122025,30.49317646298629,17.50572206400048,SGP CPA,1,Center Left Attack,WD,Attacking Left,WA,"Circle Edge, Circle Edge","YES, YES",,,"Q1, Q1, Q1, Q1",GS,Inner Left,SGP Goal,,,,
Brunei,SGPvsBRN_16122025,94.39245436699136,11.905083329002665,SGP CPA,2,Center Right Attack,WA,Attacking Right Pocket,GA,Circle Edge,YES,,,"Q1, Q1, Q1",GS,Inner Left,SGP Goal,,,,
Brunei,SGPvsBRN_16122025,134.89370601898352,14.30393084199602,SGP CPA,3,Center Left Attack,WA,Attacking Middle,GS,Circle Edge,YES,,,"Q1, Q1, Q1",GS,Inner Left,SGP Goal,,,,
Brunei,SGPvsBRN_16122025,190.19318095598214,12.104680539005159,SGP CPA,4,Center Mid Attack,GA,Attacking Middle,WA,Outside Circle,YES,,,"Q1, Q1, Q1",GS,Inner Right,SGP Goal,,,,
Brunei,SGPvsBRN_16122025,246.19321174899432,15.205092332988329,SGP CPA,5,Center Right Attack,WA,Attacking Right,GS,"Circle Edge, Circle Edge","YES, YES",,,"Q1, Q1, Q1, Q1",GA,Outer Right,SGP Goal,,,,
Brunei,SGPvsBRN_16122025,308.69366143698807,21.40432567,SGP CPA,6,Center Left Attack,WA,Attacking Middle,GA,"Outside Circle, Inside Circle, Circle Edge, Inside Circle","YES, NO, YES, YES",,,"Q1, Q1, Q1, Q1, Q1, Q1, Q1","GS, GS","Inner Middle, Inner Middle","SGP Miss, SGP Goal",,,,
Brunei,SGPvsBRN_16122025,365.29423718798205,25.105831038005704,SGP CPA,7,Center Left Attack,WA,Attacking Left Pocket,GS,"Circle Edge, Circle Edge","YES, YES",,,"Q1, Q1, Q1, Q1",GS,Outer Right,SGP Goal,,,,
Brunei,SGPvsBRN_16122025,435.8941235429854,57.40431372500217,SGP CPA,8,Center Mid Attack,WA,Attacking Left,GS,,,,,"Q1, Q1, Q1",GS,Outer Right,OPP Goal,,,,
Brunei,SGPvsBRN_16122025,525.6935972949889,17.003847963996236,SGP CPA,9,Center Mid Attack,WA,Attacking Middle,GS,Circle Edge,YES,,,"Q1, Q1, Q1",GA,Inner Middle,SGP Goal,,,,
Brunei,SGPvsBRN_16122025,566.7913640189822,83.20712088400762,SGP CPA,10,Center Right Attack,WA,Center Mid Attack,WD,"Outside Circle, Inside Circle, Outside Circle","YES, YES, YES",,,"Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1","GA, GS","Inner Middle, Outer Right","SGP Miss, SGP Goal",,,,
Brunei,SGPvsBRN_16122025,700.8913252160079,29.606002059970933,SGP CPA,11,Center Left Attack,WD,,Not Taken,Outside Circle,YES,,,"Q1, Q1, Q1, Q1, Q1",GS,Inner Left,SGP Goal,,,,
Brunei,SGPvsBRN_16122025,795.894797,22.20272366697327,SGP CPA,12,Center Right Attack,WA,Attacking Right Pocket,GA,"Circle Edge, Circle Edge","YES, YES",,,"Q1, Q1, Q1, Q1",GS,Inner Left,SGP Goal,,,,
Brunei,SGPvsBRN_16122025,846.9924147829856,16.004901178994032,SGP CPA,13,Center Left Attack,WA,Attacking Left Pocket,C,"Circle Edge, Circle Edge","YES, YES",,,"Q1, Q1, Q1, Q1",GA,Inner Middle,SGP Goal,,,,
Brunei,SGPvsBRN_16122025,909.7930948799932,20.30554788197992,SGP CPA,14,Center Mid Attack,WA,Attacking Left,GA,Circle Edge,YES,,,"Q1, Q1, Q1, Q1","GA, GA","Inner Middle, Inner Left","SGP Miss, SGP Goal",,,,
Brunei,SGPvsBRN_16122025,997.7929108199854,13.306683931014845,SGP CPA,15,Center Left Attack,WA,Attacking Middle,C,Circle Edge,YES,,,"Q2, Q2, Q2",GS,Inner Middle,SGP Goal,,,,
Brunei,SGPvsBRN_16122025,1057.5929523159848,59.305430481985695,SGP CPA,16,Center Left Attack,WA,Attacking Left Pocket,GA,"Circle Edge, Outside Circle, Circle Edge, Circle Edge, Circle Edge","NO, YES, YES, YES, YES",,,"Q2, Q2, Q2, Q2, Q2, Q2, Q2, Q2, Q2, Q2","GS, GS","Inner Left, Inner Left","SGP Miss, SGP Goal",,,,
Brunei,SGPvsBRN_16122025,1180.1959337089747,12.301440509010035,SGP CPA,17,Center Left Attack,GA,Attacking Middle,GA,Circle Edge,YES,,,"Q2, Q2, Q2",GS,Inner Left,SGP Goal,,,,
Brunei,SGPvsBRN_16122025,1216.9916833570103,18.40642291097606,SGP CPA,18,Center Left Attack,GA,Attacking Left Pocket,WA,Circle Edge,YES,,,"Q2, Q2, Q2",GA,Inner Right,SGP Goal,,,,
